,River,Year,Value
0,"р. Тура, выше г. Тюмени",2015,0
1,"р. Тура, выше г. Тюмени",2016,16
2,"р. Тура, выше г. Тюмени",2017,24
3,"р. Тура, выше г. Тюмени",2018,23
4,"р. Тура, выше г. Тюмени",2019,43
5,"р. Тура, выше г. Тюмени",2020,20
6,"р. Тура, ниже г. Тюмени",2015,0
7,"р. Тура, ниже г. Тюмени",2016,16
8,"р. Тура, ниже г. Тюмени",2017,25
9,"р. Тура, ниже г. Тюмени",2018,23
10,"р. Тура, ниже г. Тюмени",2019,40
11,"р. Тура, ниже г. Тюмени",2020,21
,"р. Тобол, в створе с. Коркино",2015,0
,"р. Тобол, в створе с. Коркино",2016,14
,"р. Тобол, в створе с. Коркино",2017,16
,"р. Тобол, в створе с. Коркино",2018,21
,"р. Тобол, в створе с. Коркино",2019,28
,"р. Тобол, в створе с. Коркино",2020,17
,"р. Тобол, выше г. Ялуторовска",2015,0
,"р. Тобол, выше г. Ялуторовска",2016,14
,"р. Тобол, выше г. Ялуторовска",2017,21
,"р. Тобол, выше г. Ялуторовска",2018,24
,"р. Тобол, выше г. Ялуторовска",2019,35
,"р. Тобол, выше г. Ялуторовска",2020,20
,"р. Тура, в створе с. Покровское",2015,0
,"р. Тура, в створе с. Покровское",2016,9
,"р. Тура, в створе с. Покровское",2017,10
,"р. Тура, в створе с. Покровское",2018,6
,"р. Тура, в створе с. Покровское",2019,19
,"р. Тура, в створе с. Покровское",2020,6
,"р. Ишим, ниже г. Ишима",2015,0
,"р. Ишим, ниже г. Ишима",2016,11
,"р. Ишим, ниже г. Ишима",2017,19
,"р. Ишим, ниже г. Ишима",2018,22
,"р. Ишим, ниже г. Ишима",2019,31
,"р. Ишим, ниже г. Ишима",2020,10
,"р. Тура, в створе с. Салаирка",2015,0
,"р. Тура, в створе с. Салаирка",2016,17
,"р. Тура, в створе с. Салаирка",2017,19
,"р. Тура, в створе с. Салаирка",2018,25
,"р. Тура, в створе с. Салаирка",2019,51
,"р. Тура, в створе с. Салаирка",2020,21
,"р. Ишим, в створе с. Ильинское",2015,0
,"р. Ишим, в створе с. Ильинское",2016,14
,"р. Ишим, в створе с. Ильинское",2017,18
,"р. Ишим, в створе с. Ильинское",2018,19
,"р. Ишим, в створе с. Ильинское",2019,25
,"р. Ишим, в створе с. Ильинское",2020,9
,"р. Тобол, в створе с. Иевлево",2015,0
,"р. Тобол, в створе с. Иевлево",2016,9
,"р. Тобол, в створе с. Иевлево",2017,9
,"р. Тобол, в створе с. Иевлево",2018,11
,"р. Тобол, в створе с. Иевлево",2019,12
,"р. Тобол, в створе с. Иевлево",2020,7
,"р. Ишим, в створе с. Абатское",2015,0
,"р. Ишим, в створе с. Абатское",2016,5
,"р. Ишим, в створе с. Абатское",2017,11
,"р. Ишим, в створе с. Абатское",2018,8
,"р. Ишим, в створе с. Абатское",2019,15
,"р. Ишим, в створе с. Абатское",2020,6
,"р. Тобол, ниже г. Ялуторовска",2015,0
,"р. Тобол, ниже г. Ялуторовска",2016,14
,"р. Тобол, ниже г. Ялуторовска",2017,20
,"р. Тобол, ниже г. Ялуторовска",2018,23
,"р. Тобол, ниже г. Ялуторовска",2019,36
,"р. Тобол, ниже г. Ялуторовска",2020,21
,"р. Ишим, выше г. Ишима",2015,0
,"р. Ишим, выше г. Ишима",2016,14
,"р. Ишим, выше г. Ишима",2017,16
,"р. Ишим, выше г. Ишима",2018,22
,"р. Ишим, выше г. Ишима",2019,26
,"р. Ишим, выше г. Ишима",2020,11